node D L T
1168034 0.0055001 0.876323 0.275005
1628157 0.0055001 0.876323 0.275005
2992111 0.0055001 0.876323 0.275005
297 0.0055001 0.876323 0.275005
1867749 0.0055001 0.876323 0.275005
2083153 0.0055001 0.876323 0.275005
1675686 0.0055001 0.876323 0.275005
647384 0.0055001 0.876323 0.275005
2707345 0.0055001 0.876323 0.275005
28085 0.0055001 0.876323 0.275005
634765 0.0055001 0.876323 0.275005
2891210 0.0055001 0.876323 0.275005
1247513 0.0055001 0.876323 0.275005
1481894 0.0055001 0.876323 0.275005
1510150 0.0055001 0.876323 0.275005
2213226 0.0055001 0.876323 0.275005
2942633 0.0055001 0.876323 0.275005
81036 0.0055001 0.876323 0.275005
53407 0.0055001 0.876323 0.275005
2607908 0.0055001 0.876323 0.275005
2666183 0.0055001 0.876323 0.275005
47885 0.0055001 0.876323 0.275005
1227924 0.0055001 0.876323 0.275005
585455 0.0055001 0.876323 0.275005
1548547 0.0055001 0.876323 0.275005
1329800 0.0055001 0.876323 0.275005
644221 0.0055001 0.876323 0.275005
1842136 0.0055001 0.876323 0.275005
2695856 0.0055001 0.876323 0.275005
732238 0.0055001 0.876323 0.275005
2741544 0.0055001 0.876323 0.275005
1970738 0.0055001 0.876323 0.275005
2714601 0.0055001 0.876323 0.275005
490188 0.0055001 0.876323 0.275005
2029166 0.0055001 0.876323 0.275005
2565531 0.0055001 0.876323 0.275005
2904122 0.0055001 0.876323 0.275005
1392540 0.0055001 0.876323 0.275005
1217662 0.0055001 0.876323 0.275005
2126983 0.0055001 0.876323 0.275005
1789224 0.0055001 0.876323 0.275005
1530123 0.0055001 0.876323 0.275005
405416 0.0055001 0.876323 0.275005
1219070 0.0055001 0.876323 0.275005
2695891 0.0055001 0.876323 0.275005
2487322 0.0055001 0.876323 0.275005
2711221 0.0055001 0.876323 0.275005
474394 0.0055001 0.876323 0.275005
861298 0.0055001 0.876323 0.275005
3020714 0.0055001 0.876323 0.275005
1117707 0.0055001 0.876323 0.275005
265668 0.0055001 0.876323 0.275005
685 0.0055001 0.876323 0.275005
1755811 0.0055001 0.876323 0.275005
1278244 0.0055001 0.876323 0.275005
1080227 0.0055001 0.876323 0.275005
320778 0.0055001 0.876323 0.275005
388278 0.0055001 0.876323 0.275005
1654360 0.0055001 0.876323 0.275005
265726 0.0055001 0.876323 0.275005
1133106 0.0055001 0.876323 0.275005
412034 0.0055001 0.876323 0.275005
2030880 0.0055001 0.876323 0.275005
2200908 0.0055001 0.876323 0.275005
1125411 0.0055001 0.876323 0.275005
1543721 0.0055001 0.876323 0.275005
191960 0.0055001 0.876323 0.275005
3119006 0.0055001 0.876323 0.275005
1834037 0.0055001 0.876323 0.275005
1192854 0.0055001 0.876323 0.275005
1317117 0.0055001 0.876323 0.275005
547122 0.0055001 0.876323 0.275005
1765967 0.0055001 0.876323 0.275005
414046 0.0055001 0.876323 0.275005
2182432 0.0055001 0.876323 0.275005
1750597 0.0055001 0.876323 0.275005
2654998 0.0055001 0.876323 0.275005
797473 0.0055001 0.876323 0.275005
2923279 0.0055001 0.876323 0.275005
472583 0.0055001 0.876323 0.275005
1157986 0.0055001 0.876323 0.275005
374931 0.0055001 0.876323 0.275005
97481 0.0055001 0.876323 0.275005
28159 0.0055001 0.876323 0.275005
2028574 0.0055001 0.876323 0.275005
2116700 0.0055001 0.876323 0.275005
347534 0.0055001 0.876323 0.275005
914151 0.0055001 0.876323 0.275005
218936 0.0055001 0.876323 0.275005
1268236 0.0055001 0.876323 0.275005
440079 0.0055001 0.876323 0.275005
179995 0.0055001 0.876323 0.275005
762983 0.0055001 0.876323 0.275005
867 0.0055001 0.876323 0.275005
2820300 0.0055001 0.876323 0.275005
1123324 0.0055001 0.876323 0.275005
434086 0.0055001 0.876323 0.275005
1655626 0.0055001 0.876323 0.275005
2944933 0.0055001 0.876323 0.275005
1470433 0.0055001 0.876323 0.275005
1492769 0.0055001 0.876323 0.275005
2904075 0.0055001 0.876323 0.275005
570281 0.0055001 0.876323 0.275005
569599 0.0055001 0.876323 0.275005
1444977 0.0055001 0.876323 0.275005
2591008 0.0055001 0.876323 0.275005
1641715 0.0055001 0.876323 0.275005
1470434 0.0055001 0.876323 0.275005
2721624 0.0055001 0.876323 0.275005
716816 0.0055001 0.876323 0.275005
2950436 0.0055001 0.876323 0.275005
2601894 0.0055001 0.876323 0.275005
651086 0.0055001 0.876323 0.275005
2518994 0.0055001 0.876323 0.275005
287487 0.0055001 0.876323 0.275005
1132028 0.0055001 0.876323 0.275005
349521 0.0055001 0.876323 0.275005
