node D L T
2487746 0.0105952 0.815743 0.529761
2487749 0.0105952 0.815743 0.529761
1429915 0.0105952 0.815743 0.529761
1429914 0.0105952 0.815743 0.529761
2509225 0.0105952 0.815743 0.529761
1427151 0.0105952 0.815743 0.529761
43776 0.0105952 0.815743 0.529761
1705562 0.0105952 0.815743 0.529761
2950539 0.0105952 0.815743 0.529761
2950534 0.0105952 0.815743 0.529761
2950533 0.0105952 0.815743 0.529761
2487751 0.0105952 0.815743 0.529761
1705564 0.0105952 0.815743 0.529761
2759912 0.0105952 0.815743 0.529761
2759913 0.0105952 0.815743 0.529761
351160 0.0105952 0.815743 0.529761
1041930 0.0105952 0.815743 0.529761
304371 0.0105952 0.815743 0.529761
2052831 0.0105952 0.815743 0.529761
349307 0.0105952 0.815743 0.529761
1110509 0.0105952 0.815743 0.529761
2223 0.0105952 0.815743 0.529761
3033395 0.0105952 0.815743 0.529761
660064 0.0105952 0.815743 0.529761
2608793 0.0105952 0.815743 0.529761
1392998 0.0105952 0.815743 0.529761
2759911 0.0105952 0.815743 0.529761
867904 0.0105952 0.815743 0.529761
644295 0.0105952 0.815743 0.529761
768733 0.0105952 0.815743 0.529761
679901 0.0105952 0.815743 0.529761
3028296 0.0105952 0.815743 0.529761
3028298 0.0105952 0.815743 0.529761
3028293 0.0105952 0.815743 0.529761
3028294 0.0105952 0.815743 0.529761
3073890 0.0105952 0.815743 0.529761
796385 0.0105952 0.815743 0.529761
1434115 0.0105952 0.815743 0.529761
192952 0.0105952 0.815743 0.529761
1236903 0.0105952 0.815743 0.529761
487685 0.0105952 0.815743 0.529761
1090322 0.0105952 0.815743 0.529761
2052935 0.0105952 0.815743 0.529761
536044 0.0105952 0.815743 0.529761
502115 0.0105952 0.815743 0.529761
38026 0.0105952 0.815743 0.529761
2177 0.0105952 0.815743 0.529761
523843 0.0105952 0.815743 0.529761
106207 0.0105952 0.815743 0.529761
156457 0.0105952 0.815743 0.529761
2834276 0.0105952 0.815743 0.529761
1277351 0.0105952 0.815743 0.529761
668570 0.0105952 0.815743 0.529761
593750 0.0105952 0.815743 0.529761
456442 0.0105952 0.815743 0.529761
521011 0.0105952 0.815743 0.529761
2193 0.0105952 0.815743 0.529761
3028299 0.0105952 0.815743 0.529761
2609417 0.0105952 0.815743 0.529761
679926 0.0105952 0.815743 0.529761
126734 0.0105952 0.815743 0.529761
28892 0.0105952 0.815743 0.529761
2052832 0.0105952 0.815743 0.529761
2199 0.0105952 0.815743 0.529761
348610 0.0105952 0.815743 0.529761
2584085 0.0105952 0.815743 0.529761
2651577 0.0105952 0.815743 0.529761
1550566 0.0105952 0.815743 0.529761
1550565 0.0105952 0.815743 0.529761
204050 0.0105952 0.815743 0.529761
72612 0.0105952 0.815743 0.529761
2200 0.0105952 0.815743 0.529761
394967 0.0105952 0.815743 0.529761
33865 0.0105952 0.815743 0.529761
937775 0.0105952 0.815743 0.529761
1077256 0.0105952 0.815743 0.529761
187420 0.0105952 0.815743 0.529761
118062 0.0105952 0.815743 0.529761
877455 0.0105952 0.815743 0.529761
868131 0.0105952 0.815743 0.529761
2731220 0.0105952 0.815743 0.529761
2161 0.0105952 0.815743 0.529761
294671 0.0105952 0.815743 0.529761
1300164 0.0105952 0.815743 0.529761
55758 0.0105952 0.815743 0.529761
49547 0.0105952 0.815743 0.529761
47311 0.0105952 0.815743 0.529761
230361 0.0105952 0.815743 0.529761
523846 0.0105952 0.815743 0.529761
2546128 0.0105952 0.815743 0.529761
243232 0.0105952 0.815743 0.529761
880724 0.0105952 0.815743 0.529761
637914 0.0105952 0.815743 0.529761
